t,PE
0, -100.07629327235242
5, -100.07629327235242
10, -100.07629327235242
15, -100.07629327235242
20, -100.07629327235242
25, -100.07629327235242
30, -100.07629327235242
35, -100.07629327235242
40, -100.07629327235242
45, -100.07629327235242
50, -100.07629327235242
55, -100.07629327235242
60, -100.07629327235242
65, -100.07629327235242
70, -100.07629327235242
75, -100.07629327235242
80, -100.07629327235242
85, -100.07629327235242
90, -100.07629327235242
95, -100.07629327235242
100, -100.07629327235242
105, -100.07629327235242
110, -100.07629327235242
115, -100.07629327235242
120, -100.07629327235242
125, -100.07629327235242
130, -100.07629327235242
135, -100.07629327235242
140, -100.07629327235242
145, -100.07629327235242
150, -100.07629327235242
155, -100.07629327235242
160, -100.07629327235242
165, -100.07629327235242
170, -100.07629327235242
175, -100.07629327235242
180, -100.07629327235242
185, -100.07629327235242
190, -100.07629327235242
195, -100.07629327235242
200, -100.07629327235242
205, -100.07629327235242
210, -100.07629327235242
215, -100.07629327235242
220, -100.07629327235242
225, -100.07629327235242
230, -100.07629327235242
235, -100.07629327235242
240, -100.07629327235242
245, -100.07629327235242
250, -100.07629327235242
255, -100.07629327235242
260, -100.07629327235242
265, -100.07629327235242
270, -100.07629327235242
275, -100.07629327235242
280, -100.07629327235242
285, -100.07629327235242
290, -100.07629327235242
295, -100.07629327235242
300, -100.07629327235242
305, -100.07629327235242
310, -100.07629327235242
315, -100.07629327235242
320, -100.07629327235242
325, -100.07629327235242
330, -100.07629327235242
335, -100.07629327235242
340, -100.07629327235242
345, -100.07629327235242
350, -100.07629327235242
355, -100.07629327235242
360, -100.07629327235242
365, -100.07629327235242
370, -100.07629327235242
375, -100.07629327235242
380, -100.07629327235242
385, -100.07629327235242
390, -100.07629327235242
395, -100.07629327235242
400, -100.07629327235242
405, -100.07629327235242
410, -100.07629327235242
415, -100.07629327235242
420, -100.07629327235242
425, -100.07629327235242
430, -100.07629327235242
435, -100.07629327235242
440, -100.07629327235242
445, -100.07629327235242
450, -100.07629327235242
455, -100.07629327235242
460, -100.07629327235242
465, -100.07629327235242
470, -100.07629327235242
475, -100.07629327235242
480, -100.07629327235242
485, -100.07629327235242
490, -100.07629327235242
495, -100.07629327235242
500, -100.07629327235242
505, -100.07629327235242
510, -100.07629327235242
515, -100.07629327235242
520, -100.07629327235242
525, -100.07629327235242
530, -100.07629327235242
535, -100.07629327235242
540, -100.07629327235242
545, -100.07629327235242
550, -100.07629327235242
555, -100.07629327235242
560, -100.07629327235242
565, -100.07629327235242
570, -100.07629327235242
575, -100.07629327235242
580, -100.07629327235242
585, -100.07629327235242
590, -100.07629327235242
595, -100.07629327235242
600, -100.07629327235242
605, -100.07629327235242
610, -100.07629327235242
615, -100.07629327235242
620, -100.07629327235242
625, -100.07629327235242
630, -100.07629327235242
635, -100.07629327235242
640, -100.07629327235242
645, -100.07629327235242
650, -100.07629327235242
655, -100.07629327235242
660, -100.07629327235242
665, -100.07629327235242
670, -100.07629327235242
675, -100.07629327235242
680, -100.07629327235242
685, -100.07629327235242
690, -100.07629327235242
695, -100.07629327235242
700, -100.07629327235242
705, -100.07629327235242
710, -100.07629327235242
715, -100.07629327235242
720, -100.07629327235242
725, -100.07629327235242
730, -100.07629327235242
735, -100.07629327235242
740, -100.07629327235242
745, -100.07629327235242
750, -100.07629327235242
755, -100.07629327235242
760, -100.07629327235242
765, -100.07629327235242
770, -100.07629327235242
775, -100.07629327235242
780, -100.07629327235242
785, -100.07629327235242
790, -100.07629327235242
795, -100.07629327235242
800, -100.07629327235242
805, -100.07629327235242
810, -100.07629327235242
815, -100.07629327235242
820, -100.07629327235242
825, -100.07629327235242
830, -100.07629327235242
835, -100.07629327235242
840, -100.07629327235242
845, -100.07629327235242
850, -100.07629327235242
855, -100.07629327235242
860, -100.07629327235242
865, -100.07629327235242
870, -100.07629327235242
875, -100.07629327235242
880, -100.07629327235242
885, -100.07629327235242
890, -100.07629327235242
895, -100.07629327235242
900, -100.07629327235242
905, -100.07629327235242
910, -100.07629327235242
915, -100.07629327235242
920, -100.07629327235242
925, -100.07629327235242
930, -100.07629327235242
935, -100.07629327235242
940, -100.07629327235242
945, -100.07629327235242
950, -100.07629327235242
955, -100.07629327235242
960, -100.07629327235242
965, -100.07629327235242
970, -100.07629327235242
975, -100.07629327235242
980, -100.07629327235242
985, -100.07629327235242
990, -100.07629327235242
995, -100.07629327235242
